word,phonetic,pos,meaning,examples,memory_methods,derivatives,collocations,extensions,chapter,source_page,source_book,confidence
chamber,/ˈtʃeɪmbə(r)/,n.,房间，室；会议室，议院；（人体、植物或机器内的）腔，室；洞穴,When they wake up，they found themselves in a vast underground chamber. 他们醒来时，发现自己身处一个巨大的地下室里。,"划分：chamb | er 针对第1个元素采用谐音记忆法：chamb 发音类似中文""腔""，空腔，腔室； 针对第2个元素采用",,,,Part3,1280,单词突围5200 上册,1.0
champion,/ˈtʃæmpiən/,n.,冠军，优胜者,He is the boxing champion of the world. 他是世界拳击冠军。,"针对整个单词采用谐音记忆法：champion 的发音类似中文""前面""，比赛中排名在 barrier champion 最前面的人，即 n.冠军，优胜者",,,championship n.锦标赛,Part1,699,单词突围5200 上册,1.0
championship,/ˈtʃæmpiənʃɪp/,n.,冠军称号,The championship was won by a complete unknown. 一个名不见经传 的人赢得了冠军。,"champion 为已经记忆过的单词，表示 n.冠军，优胜者；末尾加上 -ship 表示""… 关系""的名词后缀，得到核心含义相同的名词含义，表示冠军头衔和优胜者的关 系，意为 n.冠军称号",,,,Part1,700,单词突围5200 上册,1.0
change,/tʃeɪndʒ/,v.,改变；更换；兑换；n.零钱；变化,This change of the state is a physical change. 这种状态的变化是物理变 化。,（熟悉单词，无需额外记忆方法）,,change sth with sb 和某人交换某物；change…into… 将…变成…；兑 therefore change 换（把钱换成零票或者硬币）,,Part3,420,单词突围5200 上册,1.0
character,/ˈkærəktər/ budget budgetary character,n.,字符；性格；特征,He has a strong but gentle character. 他性格坚强而又温柔。,"划分：char | act | er 针对第1个元素采用谐音记忆法：cha 使用拼音拼读为""差""； 针对第2个元素采用含义联想法：act 为熟悉单词，意为行动、动作； 针对第3个元素采用",,a Chinese character 一个汉字,,Part4,222,单词突围5200 上册,1.0
characteristic,/ˌkærəktəˈrɪstɪk/,,ad .特有的，独特的，典型的；n.特征；特性,People living in cities have to bear the characteristic noises there. 住 在城市里的人不得不忍受都市特有的喧嚣。,character 为已经记忆过的单词，表示 n.特征，特点；末尾加上 -ic 形容词后缀 后，表示核心含义相同的形容词含义，即具有显著特征的，意为 ad .特有的，独特 的，典型的； 注意：characteristic 除了可以作形容词用之外，同时也保留了作名词的用法，作 名词表示相同的含义 n.特征；特性,,,,Part1,472,单词突围5200 上册,1.0
characterize,/ˈkærəktəraɪz/,vt.,成为…的特征，以…为典型；描绘（人或物的）特性，描述,I find it beneficial never to characterize people I don't know. 我从不描 述不认识的人，我发现这很有益处。,character 为已经记忆过的单词，表示 n.特征；末尾加上 -ize 动词后缀，表示核心 含义相同的动词含义，即：1）成为特征，产生特征，表示 vt.成为…的特征，以… 为典型；2）描绘特征，展示特征，表示 vt.描绘（人或物的）特性，描述,,,,Part4,662,单词突围5200 上册,1.0
charge,/tʃɑːdʒ/,v.,收费；指控，控告，起诉；索价；充电；n.费用，价钱；电荷；充电,My mom was in charge of the baby. 我妈妈负责照顾那个婴儿。,"① 针对整个单词采用谐音记忆法：charge 的发音类似中文里的""插进""，即将手机 插进充电口 ——> 将手机插进充电口，即 vt.充电；延伸到相关的名词含义，表示 与""电""有关的 n.充电；电荷； ② 既然是""充电""当然会消耗电，而用电是要付电费的，所以如果你在别人那里给手 机充电，""付费""是应该的。故 charge 作动词还可以表示 v.收费；索价；延伸到相 关的名词含义，表示 n.费用，价钱； ③ 为了记住 charge 的其他含义，想象有一次你去充电忘了带钱，于是趁别人没发 现你就跑了。结果那家人发现之后，竟然为了几块钱的电费""指控""你违法并把你告 上了法庭… 具体刻画你在被指控之后一个人呆在法庭上楚楚可怜的样子，由此记住 charge 表 示把你送上法庭的手段，即 v.指控；控告；起诉； 总结：看到 charge 想起谐音""插进""，把手机插进充电口表示 v.充电。充完电要 v. 收费，有一次你没付费结果别人 v.指控 你违法，并把你告上了法庭。",,1.in charge of 支配；负责；2.in the charge of 受…支配，由…负 责：The baby was in the charge of my mom. 那个婴儿由我妈妈负责照顾。 3.take charge （of sth）控制，掌管；4.free of charge 免费；5.charge sb some money 向某人要价（收费）,overcharge v.要价过高； 对比辨析：charge，fee，fare，toll charge 作费用讲时泛指生活的方方面面的花费；fee 指支付的服务费、手续费等 附加费用；fare 指用于交通的花费；toll 特指通过道路、桥梁时需支付的费用。,Part1,241,单词突围5200 上册,1.0
chase,/tʃeɪs/,v.,追逐，追赶；追求； skilled skill chase,Some experts worry that Yellen will be inclined to chase unemployment to the neglect of inflation. 一些专家担心，耶伦将重点放在应 对失业问题上会导致其忽略通货膨胀问题。,"划分：cha | se 针对第1个元素采用谐音记忆法：cha 通过拼音拼读得到""差""，这里引申在差距； 针对第2个元素采用含义联想法：通过 se 的字形和发音联想到已经记忆过的单词 see v.看见； 综合考虑 cha（差距）+ se（看见）——> 看见（se）了差距（cha）自然要奋起 直追，故 chase 表示 v.追逐，追赶；追求",,chase after 追捕，追逐,,Part1,1114,单词突围5200 上册,1.0
check,/tʃek/,n.,检查；调查；对号；v.核对；查明；打对号,He checks his phone every five minutes！他每五分钟检查一次手机！,"surgical comparable check 划分：che | ck 针对第1个元素采用谐音记忆法：che 通过拼音拼读类似中文里的""车""一车； 针对第2个元素采用发散联想法：ck 是一个知名的时尚品牌 Calvin Klein 的简称， 大家如果经常去逛街的话应该都在商场中见过它； 综合考虑 che（车）+ ck（时尚品牌）——> 请你想象有一家超专卖店向厂家订 了货，现在厂家运送了一整车 ck 品牌的服装到店门口。 作为老板你很清楚现在市场上盗版、假货盛行，你可不想自己花真金白银进的货到 最后被发现是盗版，所以你堵在下货的车门口对上面的货物挨个""检查""，并做好"" 核对""，只有成功通过检查的你才在进货单上""打上对号""并送进店里。 故看到 check 联想到 ck 商店进货检查的场景，由此记住 check 表示 n.检查；调 查；对号；v.核对；查明；打对号",,check in 登记，报道；check out 结账离开；查证，核实,,Part1,1030,单词突围5200 上册,1.0
chemistry,/ˈkemɪstri/,n.,化学,He is hot in mathematics and chemistry. 他数学和化学极好。,"划分：che | mis | try biological biologist chemistry 针对第1个元素采用谐音记忆法：che 通过拼音拼读得到""车""，车辆； 针对第2个元素采用谐音记忆法：mis 在单词里的发音类似中文""迷死""，迷晕某人 昏死过去； 综合考虑 che（车辆中）+ mis（迷晕某人昏死过去）——> 如下图，我们经常看 到在影视作品中看到有人从车后座窜出来用布捂住人的口鼻，然后受害者就被迷晕 昏死了过去。我们都很清楚犯罪者使用的布上肯定含有能够使人昏迷的""化学""物 质。 看到 chemistry 想起在车辆上被用化学药品迷晕的受害者，由此记住 chemistry 与化学有关，即 n.化学",,,,Part1,141,单词突围5200 上册,1.0
cherish,/ˈtʃerɪʃ/,vt.,珍爱，珍视；爱护；抚育；怀有，抱有； absence cherish,We must cherish experience acquired at the cost of blood. 我们必须珍 惜用鲜血换来的经验。,"划分：che | rish 针对第1个元素采用谐音记忆法：che 在单词里的发音类似中文""切""，切分； 针对第2个元素采用含义联想法：通过 rish 的字形和发音联想到已经记忆过的单词 rich ad .富的，有钱的；这里引申为财富； 综合考虑 che（切分）+ rish（rich - 财富）——> 想象有人想要切分（che）一 个富翁的财富（rish），那个富翁可不愿意了，死死地抱住自己的财富保险箱打死 都不松手； 通过富翁誓死捍卫自己的财富这个场景，一方面通过他抱住密码箱的动作记住 cherish 可以表示 vt.怀有，抱有；（注意，cherish 事实上表示的是心中怀有…这 类抽象含义）； 另一方面也体会到富翁对自己财富的 vt.珍爱，珍视；爱护；稍作延伸可以将这种"" 对…的珍爱""拓展到更广义的层面，比如对孩子的珍爱就反应出 cherish 作动词表 示 vt.抚育； 注意：有关 cherish 重点把握其表示与""因为珍视而无比爱护""这个核心含义内核， 根据爱护的对象不同可以表示不同的含义，至于具体爱护的对象是什么可在具体的 场景中进行推导。",,,,Part3,750,单词突围5200 上册,1.0
chief,/tʃiːf/,,ad .主要的，首要的；n.领导；长官；首领,Rice is the chief crop in most southern provinces. 水稻是南方大多数省 份的主要农作物。,"我们经常在新闻或者电影在看到一个人是某个公司的CEO、CFO 或者 CMO 之类 的…面对这些明显是英文简写的称号，你是否好奇过他们完成的表述是什么呢？ brand chief 以CEO为例，其中文完整含义是""首席运营官""，而英文的完整表示则是""Chief Executive Officer""。 按照中文翻译的顺序，显然 chief 表达的含义就是""首席的""，由""首席的""这个含义 进行延伸即可得到 ad .首要的，主要的；更进一步，能在公司里担任首要职务的人 自然就是 n.领导。 如何才能更好地记住 chief 这个词呢？还可以通过谐音记忆法进行强化：chief 整 个单词的发音类似中文""欺负""，什么人在公司你才有资格欺负别人呢？自然只能是 那些把持""主要/首要""职位的""领导""。 注意：使用公司管理的场景仅仅是为了方便记忆，chief 本身的使用场景并不局限 在公司之中，所以大家应该掌握 chief 这个单词表示""很重要的，甚至是最重要的"" 这个核心含义内核，由此引申开便可以得到一系列含义，即 n.长官；首领",,,,Part3,415,单词突围5200 上册,1.0
child,/tʃaɪld/,n.,孩子，儿童,The child delighted his parents with a smile. 孩子的笑逗得父母很高兴。,（熟悉单词，无需额外记忆方法）,,,,Part2,175,单词突围5200 上册,1.0
childhood,/ˈtʃaɪldhʊd/,n.,幼年时代，童年,She had an unhappy childhood. 她有一个不幸的童年。 child childhood,"划分：child | hood 针对第1个元素采用含义联想法：child 和熟悉的 children 都表示儿童，孩子；加 上名词后缀 -hood 得到 n.幼年时代；童年； | 词根分析：-hood：词缀，表示""…时期""的名词含义； | 巧记：通过熟练掌握 childhood 反向记忆，child | hood：其中 child 表示小 孩；-hood 表示…时期 ——> n.幼年时代，童年",,,,Part2,175,单词突围5200 上册,1.0
chip,/tʃɪp/,n.,碎片，屑片；集成电路片，芯片,This company pioneered the use of silicon chip. 这家公司开创了使用硅 片的方法。,"针对整个单词采用谐音记忆法：chip 发音类似中文""切片""，即切成薄片，故 chip 表示""具有薄片外形的东西"" ——> ① 零碎的小薄片 n.碎片，屑片；② 类似 CPU 芯片一样的电路小薄片 n.集成电路片，芯片",,,,Part2,495,单词突围5200 上册,1.0
cholesterol,/kəˈlestərɒl/,n.,胆固醇,Elevated cholesterol levels may lead to a heart attack. 胆固醇升高可能 会引发心脏病。,"划分：chole | sterol 针对第1个元素采用谐音联想法：chole 在单词里的发音类似中文""可乐""； 针对第2个元素采用谐音联想法：sterol 在单词里的发音类似中文""使多""，使变得 更多； 综合考虑 chole（可乐）+ sterol（使多，使变得更多）——> 可乐喝多了人会变 胖，那会让什么变得更多呢？就是会让""胆固醇""变多，故 cholesterol 表示 n.胆固 醇； | 词根分析：chole：词根，表示胆，胆汁； | 巧记：按照 cholesterol - 胆固醇 的翻译顺序，排在前面的 chole 对应中文含义中 alleviation cholesterol 的胆，胆汁。",,,,Part1,1028,单词突围5200 上册,1.0
choose,/tʃuːz/,v.,（chose，chosen，choosing）选择；决定,He chose to play basketball. 他决定打篮球。,"针对整个单词采用字形记忆法：看着单词中的两个一模一样的字母 o，现在让你从 中挑一个你最喜欢的。 你觉得""我靠？这两个不是一样的吗？这怎么选？""记住这种选择时懵逼的情绪，从 而记住 choose 表达 v.选择；决定",,1.choose between A and B 在A和B中选择；2.choose… from … 从…挑 选…；cannot choose but sth 别无选择，只好做某事：She can't choose but take the awful ob. 她别无选择，只能做那份糟糕的工作。 acceleration choose,,participate为已经记忆过的单词，表示vi.参加，参与；末尾去掉-te动词后缀，,311,单词突围5200 上册,1.0
chronic,/ˈkrɑːnɪk/,,ad .（疾病）慢性的；（人）久病的；长久的，不断的；积习难改的,He had a chronic cough. 他患了慢性咳嗽。,"划分：chron | ic 针对第1个元素采用谐音记忆法：chron 在单词里的发音类似中文""旷""，对应中文 成语旷日持久；末尾加上 -ic 形容词后缀，表示…的，表示核心含义相同的名 词——>旷日持久的，即表示时间长， 由这个核心含义内核出发引申出时间跨度长、持续时间长：① 表示时间长本身， 意为 ad .长久的，不断的；积习难改的；② 表示生病时间长，意为 ad .（疾病） 慢性的；（人）久病的；③ 表示习惯造成的影响时间长，意为 ad .积习难改的； | 词根分析：chronic chron：词缀，时间； | 巧记：chron 谐音旷，对应旷日持久的含义，由于这个成语与时间紧密相关，故 chron 作前缀表示时间",,,chronically adv.慢性地,Part3,519,单词突围5200 上册,1.0
chronically,/kɑɡ'nɪʃən/,n.,〈哲〉认知，认知力,We're using cognition to control our behavior. 我们用认知去控制自己 的行为。,cognitive 为已经记忆过的单词，表示 ad .认知的；认识的；末尾去掉 -ive 形容词 后缀，加上 -ion 名词后缀，得到核心含义相同的名词含义，表示 n.〈哲〉认知， 认知力,,,,Part3,520,单词突围5200 上册,1.0
chunk,/tʃʌŋk/,n.,厚片，大块；相当大的部分（或数量）,"In the old days having meat and milk every day often meant a big chunk of the family income. 过去,每天吃肉,喝牛奶意味着要花费掉家庭收入 的大部分。","针对整个单词采用谐音记忆法：chunk 在单词里的发音类似中文""常客"" ——> 想 象你是一家烤肉店的常客，之所以你会成为回头客是因为它家的肉比别家的更大、 更厚，如下图所示。想象你在烤肉店大口吃肉的场景，把握 chunk 表示 n.厚片， 大块； cabinet chunk 由""厚片，大块""的含义进行延伸，表示""更大、更多""的核心核心意向，由此把握广 义上表示 n.相当大的部分（或数量）",,,,Part1,1137,单词突围5200 上册,1.0
circle,/ˈsɜːkl/,n.,圆圈；v.围起来，环绕； championship trait circle,They sat in a circle round the fire. 他们围着入伙坐成一圈。,针对整个单词采用含义联想法：通过 circle 的字形和发音联想到已经记忆过的单 词 cycle n.周期；循环，可以将 circle 看做是 cycle 变形形式，在记忆 cycle 时我 们联想到了动态的圆圈，由此延伸可得 circle 表示 n.圆圈；v.围起来，环绕,,,,Part1,700,单词突围5200 上册,1.0
circuit,/ˈsɜːkɪt/,n.,电路,The model can calculate short circuit current and open circuit voltage of microbattery. 可以用该模型计算出微电池的短路电流和开路电压。,针对整个单词采用含义联想法：通过 circuit 的字形和发音容易联想到熟悉的单词 circle n.圆圈； 下面我们将 circuit n.电路 和 circle n.圆圈 联系到一起，观察一张电路板的图片： 上面的线条弯弯绕绕，是不是像一个又一个的圆圈，因此看到 circuit 想起 circle n.圆圈，进而记住形状像圆圈的 n.电路； | 词根分析：circu：词根，表示环绕； circuit | 巧记：由 circu 联想到 circle n.圆圈，记住 circu 作词根表示环绕的含义。,,,,Part1,701,单词突围5200 上册,1.0
circular,/ˌsɜːrk əˈleɪʃn/,n.,（体液的）循环；（水、空气等的）流通；流传，传播，发行；发行量； （货币等的）流通,Bad circulation can cause various symptoms such as tiredness. 血液循 环不良会引起像人体疲劳这样的种种症状。,circular 是已经记忆过的单词，表示 ad .循环的；重点传递出一种循环流动的动态 意向，末尾去掉 -ar 形容词后缀，加上 -ation 名词后缀，得到核心含义相同的名 词含义：① 对应液体或气体的循环流动，即 n.（体液的）循环；（水、空气等 的）流通；② 延伸表示信息的循环流动，即 n.流传，传播，发行；发行量；③ 表 示货币的 n.（货币等的）流通,,,,Part1,702,单词突围5200 上册,1.0
circulation,/mɔː(r)/,,ad .更多的；adv.更；pron.更多的…；另外的…； circular circulation more,I need one more stamp before my collection is completed. 我还需要 一枚邮票才能完成我的收集。,（熟悉单词，无需额外记忆方法）,,"more or less 或多或少，大体上；more than 多于，超过；no more than 不过，仅仅，和…一样都不；not more than 至多；不比…更…；what's more 而且，此外，更有甚者；more and more 越来越；the more… the more… 越…越…；once more 再一次；no more = not … any more 不再； 对比辨析：no more than，not more than 二者在数量上进行比较的时候，no more than = only 意为""仅仅，只有""， 如：There are no more than 8 chairs in the room. 屋子里只有8把椅子。而 not more than = the most 意为""最多，不超过""，如：There are not more than 8 chairs in the room. 屋子里最多有8把椅子。二者在程度上进行比较的时 候，no more than 意为""两者都不""，如 A is no more important than B. A 和 B 都不重要。 而 not more than 意为""比不上，不及""，如：A is not more important than B. A没有B重要。","词义辨析：1.more 作副词，除了与至少有两个音节的形容词或副词构成比较级外，还可以修 饰动词：I couldn't agree with you more. 我非常赞同你的意见。 2.more 作代词，可以和 many，much，some，any，no，a few，a little 等词 连用以及数词连用：I couldn't eat any more. 我再也吃不下了。 常见搭配：more or less 或多或少，大体上；more than 多于，超过；no more than 不过，仅仅，和…一样都不；not more than 至多；不比…更…；what's more 而且，此外，更有甚者；more and more 越来越；the more… the more… 越…越…；once more 再一次；no more = not … any more 不再； 对比辨析：no more than，not more than 二者在数量上进行比较的时候，no more than = only 意为""仅仅，只有""， 如：There are no more than 8 chairs in the room. 屋子里只有8把椅子。而 not more than = the most 意为""最多，不超过""，如：There are not more than 8 chairs in the room. 屋子里最多有8把椅子。二者在程度上进行比较的时 候，no more than 意为""两者都不""，如 A is no more important than B. A 和 B 都不重要。 而 not more than 意为""比不上，不及""，如：A is not more important than B. A没有B重要。",Part1,702,单词突围5200 上册,1.0
circumstance,/ˈsɜːkəmstæns/,n.,环境；情况，条件；境况，境遇,The circumstance forced me to accept it. 迫于环境的压力，我不得不接 受。,划分：circu | mstance 针对第1个元素采用,,,,Part4,891,单词突围5200 上册,1.0
circus,/ˈsɜːkəs/ longevity circus,n.,马戏，马戏团；喧闹的场面；环形广场,They make the circus lively and cause the audience to laugh. 他们使马 戏团充满了活力，令观众大笑。,"划分：circ | us 针对第1个元素采用含义联想法：通过 circ 的字形和发音容易联想到已经记忆过的 单词 circle n.圆圈； 针对第2个元素采用含义联想法：us 为熟悉单词，表示我们，这里引申为人群； 综合考虑 circ（圆圈）+ us（人群）——> 一大群观众（us）环绕着坐在一个圆 形的场所（circ）里，这正是""马戏团""演出时的场景，如图： 故 circus 表示 n.马戏，马戏团；稍作延伸为对马戏团场馆的描述表示 n.喧闹的场 面；环形广场； | 词根分析：circ：词根，表示环绕； | 巧记：通过熟练掌握circus表示环形广场反向记忆，cir | us，其中cir表示环绕，末 尾加上 -us 名词后缀表示核心含义相关的名词含义——＞环形的物品，即 n.环形 广场。",,,,Part3,1075,单词突围5200 上册,1.0
citation,/saɪˈteɪʃn/,n.,引用，引证；传票；褒扬,Do we know at all if since then police arrests and citations are down? 自那以后警察逮捕和传讯的人数确实少了吗？,cite 为已经记忆过的单词，表示 vt.引用，引证；传唤，表彰；末尾去掉 -e 动词后 缀，再加上 -ion 名词后缀，得到核心含义相同的名词含义，表示 n.引用，引证； 传票；褒扬,,,,Part3,302,单词突围5200 上册,1.0
cite,/saɪt/,vt.,引用，引证；传唤，传讯；表彰,"One such game，called World of Warcraft，is cited on many sites by posters complaining of a ""gaming addiction."" 在许多网站上，发帖人控诉""游 戏成瘾""时都用《魔兽世界》这款游戏来举例。","① 通过 cite 联想到已经记忆过的单词 site n.位置；更进一步联想到已经记忆过的 单词 website n.网站 ——> 说起网址我们会想起那一长串网址代码，而我相信大 多数肯定都和我一样很少会手动输入网址而是会尽可能选择复制粘贴。 那么这个复制粘贴的动作就相当于是把别处的东西""引用""到了网址导航框中。现在 请你在脑中具体刻画一下自己在别人复制网址再在浏览器中粘贴的场景，深刻体会 一下这种""从A处拿来东西放在B处用""的意向，进而把握 cite 作动词表示 vt.引用， 引证； ② 同样是基于""把A处的东西拿到B处用""的核心含义内核，我们可以理解所谓""传 唤，传讯""就是把人从A处叫来警察局或者法院（B处）调查一下或者审问一下（用 site cite 一用）。故 cite 作动词还可以表示对人转换地点的使用，意为 传唤，传讯； ③ 更深入一步，还可以通过""把A处的东西拿到B处用""的意向来理解，所谓""表彰"" 就是对一个人过去所做出的的成就在此时此刻作出褒奖。于是我们可以认为某人过 去作出的成就是A，而这个A现在被拿来给当事人颁奖和表彰（拿到B场合使用）， 故 cite 作动词还可以表示 v.表彰； 注意：有关 cite 我们应该把握其表示的""把A处的东西拿到B处用""的核心含义内 核，其中最常用的具体含义是 vt.引用，引证；请务必熟练掌握。",,,citation n.引语,Part3,301,单词突围5200 上册,1.0
civic,/ˈsɪvɪk/,,ad .城镇的，城市的；市民的，城镇居民的,We all should have a sense of civic pride.我们都应该有一种市民自豪 感。 civil civic,划分：civ | ic 针对第1个元素采用含义联想记忆法：通过civ(i)的字形和发音联想到熟悉单词 civil ad .平民的，市民的； 针对第2个元素采用,,,civics n.公民学；市政学,Part2,1253,单词突围5200 上册,1.0
civil,/ˈsɪvl/,,ad .国内的，平民的；民事的,Is this strike a civil rights campaign？ 这次罢工是一场民权运动吗？,"① 在记忆 civilian n.平民，老百姓 时已经接触过 civil 作为词根时表示 ad .平民的 ——> 通过""平民的""这个核心含义稍作延伸可以得到与民众事务有关的含义，故 civil 还可以表示 ad .民事的； ② 一个国家会把自己国内的民众视为人民，因此用 civil 表示""平民的""其实自带一 种范围属性，表示""与国内人民相关的""，故 civil 还可以表示 ad .国内的",,a civil war 一场内战；a civil court 民事诉讼法庭；civil law 民法,,Part2,1253,单词突围5200 上册,1.0
civilian,/səˈvɪliən/,n.,平民，老百姓,In this town，two civilians have died of the infectious smallpox. 这个 镇上有两个居民死于传染性的天花。,"划分：civil | ian 针对整个单词采用字形联想记忆法：仔细观察 civilian 的字形，会发现整个单词中 只有字母 l 从高度上是最高的，而其他单词都显得相对矮小。 于是从高度这个角度来看，civilian 除 l 之外的字母对字母 l 便有一种众星捧月的 感觉，想象所有矮个字母全都抬头仰望着字母 l，如果我们把这种众星捧月的感觉 引申到社会地位上，很轻松便能联想到： 社会上特别有钱、特别有权、社会地位特别高的人就如 civilian 中的 l 一样，是人 群中的少数。大多数人都是类似 civilian 中除 l 之外的其它字母一样的 n.平头百 姓，平民； 看到 civilian 从字形上理解除字母 l 之外的所有字母都是需要抬头仰望有钱人的 n. 平头百姓，平民； | 词根分析：civil：词根，表示平民的； | 巧记：通过熟练掌握 civilian 单词的含义，反向记忆 civil 作为词根表示""平民的""含 义； -ian：后缀，表示人的名词后缀； 巧记：通过熟练掌握 civilian 反向记忆，cixil | ian，其中 civil 表示平民的；-ian civilian 表示与人有关的名词含义 ——＞ n.平民",,,,Part2,1252,单词突围5200 上册,1.0
claim,/kleɪm/,vt.,声称，主张；对…提出要求，索取；n.要求；认领；索赔；声称；断言,"A research group here at Arizona State University recently claimed their developmental small CubeSats could cost as little as $3,000 to put in orbit. 亚利桑那州立大学的一个研究小组最近声称，他们正在研制的小型立方体卫 星的发射成本可能低至3000美元。","① 通过 claim 的字形和发音联想到已经记忆过的单词 complain v.抱怨，诉苦；由 此回想起采用过的""买的空调不制冷""这个意向 ——> 进一步深入这个思路，将 claim 谐音为""可冷""，不仅可以制冷，而且可冷了。想象你去买空调时，卖空调的 店家""声称""他们家的空调百分之百可以制冷，并且制冷效果可好了，可你买回去之 后才发现根本不冷… 在脑海里回想店家为了把空调卖给你胡乱宣传，夸大效果的画面，由此把握 claim - 可冷 对应店家的 v./n.声称；主张；断言； ② 由 v.声称 的含义延伸把握 claim 表示""向外表达观点""这个核心含义内核，以此 为基础在不同场景中进行推导：1）对外提出自己的诉求，即 v.对…提出要求，索 取；2）对外表示某件东西是自己的，即 v./n.认领（尤其适用于认领遗失物 品）；3）受到伤害后对外要求赔偿，即 v./n.索赔； claim 总结：关于 claim 重点把握""有态度地对外表达自己的观点和看法""这个核心含义内 核，具体含义可在具体场景中进行延伸，",,lay claim to 声称对…由权利；claim for 要求；claim sth for sb./sth. 为某人/为某事要求（得到）某物,,Part3,73,单词突围5200 上册,1.0
class,/klɑːs/,n.,（学校里的）班级；课；阶级；等级,We have a dictation every English class. 每次上英语课我们都进行听写测 验。 breakthrough class,（熟悉单词，无需额外记忆方法）,,,,Part3,761,单词突围5200 上册,1.0
classic,/ˈklæsɪk/,n.,文学名著，经典作品，杰作；优秀的典范；pl.古典文学，古典语文研 究； ad .最优秀的；典型的，标准的；传统式样的，典雅的,The Coca-Cola bottle is one of the classic designs of the last century. 可口可乐的瓶子是上个世纪最经典的设计之一。,划分：class | ic 针对第一个元素采用含义联想法：class 是熟悉单词，表示 n.课； 针对第二个元素采用,,,,Part3,762,单词突围5200 上册,1.0
classical,/ˈklæsɪkl/,,ad .古典的，传统的,I find classical concerts more to my liking than rock concerts. 我觉得 古典音乐会比摇滚音乐会更符合我的喜好。,"划分：classic | al 针对第1个元素采用含义联想法：classic 为已经记忆过的单词，表示 ad .经典的； 一流的，最优秀的；典型的；n.经典作品，杰作；末尾加上 -al 形容词后缀，得到 核心含义相关的形容词含义 ——> 联系 ad .古典的，传统的 含义，我们可以认为 类似""古典音乐""""古典戏剧""这类经历过时间考验的东西，本身就具备""经典""以及""优 秀""的特质，故 classical 可以理解为 classic 的一种具体形式，即 ad .古典的，传 统的",,,,parts.这项实验展示了物体如何分解为其构成要素。,816,单词突围5200 上册,1.0
classmate,/meɪt/,n.,同事；伙伴；配偶；vt. 使配对；结伴,He and his mates were out picking mangoes.他和他的同伴出去摘芒果 了。,"① classmate 为已经记忆过的单词，表示 n.同班同学；也就是在一个班级里一起 学习的伙伴；由于 class 表示 n.班级，故 mate 作名词表示 n.伙伴； 稍作延伸表示广义上一起做某事的同伴：1）一起工作的同伴，即 n.同事；2）一 起生活的同伴，即 n.配偶； ② 基于 mate 表示""与某人一起做某事""的意向，作动词时表示结成同伴 vt. 使配 对；结伴",,,,Part1,27,单词突围5200 上册,1.0
clear,/klɪr/,,ad .清晰的；明亮的；清楚的；vt. 清除；使干净,Professor Green gave a clear explanation of the difficult problem. 格 林教授对这个难题做了清楚的讲解。,"划分：cl | ear 针对第1个采用谐音记忆法：cl 在单词里的发音类似中文""可聆""，可以聆听，能够 听清楚； 针对第2个元素采用含义联想法：ear 为熟悉单词，表示 n.耳朵； 综合考虑 cl（可以听清楚）+ ear（耳朵）——> 耳朵能够听清楚，表示声音清 晰，故 clear 表示 ad .清晰的；清楚的；稍作延伸表示视觉上看得清楚，即 ad .明 亮的；由形容词延伸到动词，表示""使…变得更干净""，意为 vt. 清除；使干净",,,,Part1,901,单词突围5200 上册,1.0
client,/ˈklaɪənt/ artificial client,n.,委托人；顾客,A final advertising medium is direct mail，which uses mailings to consumers to communicate a client's message. 最后一种广告媒介是直邮广 告，它通过给消费者寄送信件来与客户进行信息沟通。,"划分：cli | ent 针对第1个元素采用谐音记忆法：cli 在单词里的发音类似中文""客来""，客人到来， 来到的客人； 针对第2个元素采用",,,,Part4,336,单词突围5200 上册,1.0
clim,/ˈklaɪmət/,n.,气候；环境气氛,Los Angeles has a warm and dry climate. 洛杉矶的气候温暖干燥。,"划分：clim | (m)ate 针对第1个元素采用含义联想法：由 clim 可以联想到非常熟悉的单词 climb v.爬， 攀登； 针对第2个元素采用含义联想法：由 mate 可以联想到熟悉单词 classmate n.同 学； 综合考虑两个元素 ——> 想象你和你的同学（mate）正在商量去攀登（clim）世 界第一高峰 - 珠穆朗玛峰，为了保证自己的安全，出发之前你和他对珠穆朗玛峰做 了详尽的调查，资料保存了好几十页，可谓有备而去。 而其中最关键的但是就是了解清楚珠峰的高原""气候""，故 climate 表示你和同学一 climate 起调研珠峰中最重要的部分，即 n.气候； ② 接着可以由""气候""这个含义将 climate 的含义引申为""外界周边环境给人的感受"" 并以此作为含义内核，引申为更为广义的 n.环境气氛",,a mild climate 温和的气候；a climate of unrest 不安的气氛,climatic ad .气候的； 对比辨析：climate，weather climate 指气候，即地区固有的天气状况；而 weather 则指天气，即特定地区较短 时间内的天气变化。,Part1,28,单词突围5200 上册,1.0
